"Player_ID";"Activity_Date";"Deposit_Amount";"Withdraw_Amount";"Number_of_Games_Played";"Loyalty_Points"
342;"2/10/2022";2000;0;0;20
120;"2/10/2022";2000;0;0;20
381;"2/10/2022";2000;0;0;20
695;"2/10/2022";1000;0;0;10
193;"2/10/2022";4000;0;0;40
185;"2/10/2022";2000;0;0;20
182;"2/10/2022";30000;0;0;300
758;"2/10/2022";1000;0;0;10
409;"2/10/2022";2000;0;0;20
968;"2/10/2022";500;0;0;5
380;"2/10/2022";220;0;0;2
614;"2/10/2022";500;0;0;5
566;"2/10/2022";30000;0;0;300
500;"2/10/2022";70;0;0;1
672;"2/10/2022";100000;0;0;1000
708;"2/10/2022";1000;0;0;10
131;"2/10/2022";2000;0;0;20
193;"2/10/2022";8000;0;0;80
278;"2/10/2022";1000;0;0;10
212;"2/10/2022";5000;0;0;50
926;"2/10/2022";100;0;0;1
548;"2/10/2022";1000;0;0;10
259;"2/10/2022";5500;0;0;55
125;"2/10/2022";500;0;0;5
848;"2/10/2022";4950;0;0;50
55;"2/10/2022";2000;0;0;20
695;"2/10/2022";480;0;0;5
80;"2/10/2022";2000;0;0;20
412;"2/10/2022";4000;0;0;40
97;"2/10/2022";2000;0;0;20
786;"2/10/2022";20000;0;0;200
